=== 2026-07-05T09:20:45.801978+00:00 ===
C:\ProgramData\anaconda3\envs\NO_2D_Metamaterials\python.exe D:\Research\NO-2D-Metamaterials\train_from_disk.py --amp none --hidden-channels 128 --learning-rate 2e-3 --weight-decay 0 --scheduler steplr --step-size 1 --gamma 0.9 --eigen-ch0-encoding uniform --batch-size 520 --num-workers 2 --prefetch-factor 3 --seed 0 --progress-mode plain --epochs 12 --loss nmae

2026-07-05 05:20:59,817 | INFO | NMAE epsilon=1.000000e-05
2026-07-05 05:20:59,818 | INFO | Loss logging: active=nmae; every epoch records train/val nmae, MAE, and MSE
D:\Research\NO-2D-Metamaterials\train_from_disk.py:1858: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(device.type == "cuda" and args.amp == "fp16"))
2026-07-05 05:21:00,349 | INFO | Run started | run_name=NO_I3O5_BCF16_NMAE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260705 run_id=NO_I3O5_BCF16_NMAE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260705 device=cuda train_samples=18720000 test_samples=3900000 val_index_source=indices_full epoch_range=1..12
2026-07-05 05:21:00,349 | INFO | Fault diagnostics | main_fault_log=D:\Research\NO-2D-Metamaterials\MODELS\training_runs\NO_I3O5_BCF16_NMAE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260705\main_process_fault.log
E1/12 B31200/36000 batch_loss=2.4859e-01
E1/12 B31300/36000 batch_loss=3.3062e-01
E1/12 B31400/36000 batch_loss=3.3538e-01
E1/12 B31500/36000 batch_loss=3.3228e-01
E1/12 B31600/36000 batch_loss=2.3541e-01
E1/12 B31700/36000 batch_loss=3.4116e-01
E1/12 B31800/36000 batch_loss=3.1900e-01
E1/12 B31900/36000 batch_loss=3.3490e-01
E1/12 B32000/36000 batch_loss=2.4225e-01
E1/12 B32100/36000 batch_loss=2.5449e-01
E1/12 B32200/36000 batch_loss=2.2783e-01
E1/12 B32300/36000 batch_loss=2.6077e-01
E1/12 B32400/36000 batch_loss=3.2865e-01
E1/12 B32500/36000 batch_loss=3.2456e-01
E1/12 B32600/36000 batch_loss=3.3852e-01
E1/12 B32700/36000 batch_loss=2.4087e-01
E1/12 B32800/36000 batch_loss=2.1840e-01
E1/12 B32900/36000 batch_loss=2.2703e-01
E1/12 B33000/36000 batch_loss=2.3034e-01
E1/12 B33100/36000 batch_loss=3.2897e-01
E1/12 B33200/36000 batch_loss=3.3188e-01
E1/12 B33300/36000 batch_loss=2.4355e-01
E1/12 B33400/36000 batch_loss=3.1991e-01
E1/12 B33500/36000 batch_loss=2.2833e-01
E1/12 B33600/36000 batch_loss=3.1833e-01
E1/12 B33700/36000 batch_loss=2.3754e-01
E1/12 B33800/36000 batch_loss=3.0230e-01
E1/12 B33900/36000 batch_loss=2.2834e-01
E1/12 B34000/36000 batch_loss=2.4027e-01
E1/12 B34100/36000 batch_loss=2.2522e-01
E1/12 B34200/36000 batch_loss=2.4901e-01
E1/12 B34300/36000 batch_loss=2.3174e-01
E1/12 B34400/36000 batch_loss=2.5260e-01
E1/12 B34500/36000 batch_loss=2.4662e-01
E1/12 B34600/36000 batch_loss=2.4734e-01
E1/12 B34700/36000 batch_loss=2.3642e-01
E1/12 B34800/36000 batch_loss=2.4563e-01
E1/12 B34900/36000 batch_loss=3.1078e-01
